index,sample_index,dataset,requested_split,resolved_split,image_ref,image_column,score,predicted_label,predicted_label_name,threshold,gt_label,gt_label_raw,gt_label_name,gt_label_source,is_correct,metadata_json,exported_image_path,export_image_size,label
27,28,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:27,image,3.7918323755888195e-19,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000028.jpg,224,0
28,29,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:28,image,0.9841467142105103,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000029.jpg,224,0
29,30,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:29,image,0.9376338720321655,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000030.jpg,224,0
30,31,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:30,image,6.263321847654879e-05,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000031.jpg,224,0
31,32,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:31,image,0.46331387758255005,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000032.jpg,224,0
32,33,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:32,image,0.954056441783905,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000033.jpg,224,0
33,34,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:33,image,2.160508100548797e-12,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000034.jpg,224,0
34,35,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:34,image,2.2734708181815222e-05,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000035.jpg,224,0
35,36,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:35,image,0.03152132406830788,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000036.jpg,224,0
36,37,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:36,image,1.2954866346337468e-11,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000037.jpg,224,0
37,38,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:37,image,0.0019138787174597383,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000038.jpg,224,0
38,39,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:38,image,0.00040292326593771577,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000039.jpg,224,0
39,40,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:39,image,0.9990509152412415,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000040.jpg,224,0
40,41,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:40,image,1.4044880566296853e-21,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000041.jpg,224,0
41,42,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:41,image,0.16637541353702545,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000042.jpg,224,0
42,43,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:42,image,4.538774010143243e-05,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000043.jpg,224,0
43,44,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:43,image,0.6709566116333008,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000044.jpg,224,0
44,45,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:44,image,3.5526110053751836e-08,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000045.jpg,224,0
45,46,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:45,image,0.8760325908660889,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000046.jpg,224,0
46,47,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:46,image,0.006112636998295784,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000047.jpg,224,0
47,48,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:47,image,1.4701657669036194e-09,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000048.jpg,224,0
48,49,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:48,image,3.2673789888970628e-12,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000049.jpg,224,0
49,50,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:49,image,0.09407328814268112,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000050.jpg,224,0
50,51,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:50,image,0.9999842643737793,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000051.jpg,224,0
51,52,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:51,image,0.9997761845588684,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000052.jpg,224,0
52,53,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:52,image,0.11668633669614792,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000053.jpg,224,0
53,54,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:53,image,0.31582918763160706,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000054.jpg,224,0
54,55,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:54,image,0.7424434423446655,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000055.jpg,224,0
55,56,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:55,image,0.5586705207824707,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000056.jpg,224,0
56,57,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:56,image,0.012558466754853725,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000057.jpg,224,0
57,58,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:57,image,1.7311852218426793e-07,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000058.jpg,224,0
58,59,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:58,image,0.17811912298202515,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000059.jpg,224,0
59,60,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:59,image,1.671040809014812e-05,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000060.jpg,224,0
60,61,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:60,image,0.999630331993103,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000061.jpg,224,0
61,62,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:61,image,0.7530806064605713,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000062.jpg,224,0
62,63,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:62,image,0.05051812902092934,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000063.jpg,224,0
63,64,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:63,image,0.66085284948349,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000064.jpg,224,0
64,65,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:64,image,1.9390980014577508e-05,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000065.jpg,224,0
65,66,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:65,image,0.9926043748855591,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000066.jpg,224,0
66,67,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:66,image,4.731143254943504e-11,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000067.jpg,224,0
67,68,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:67,image,0.4333961009979248,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000068.jpg,224,0
68,69,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:68,image,4.2958109292001723e-10,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000069.jpg,224,0
69,70,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:69,image,0.999996542930603,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000070.jpg,224,0
70,71,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:70,image,0.9999500513076782,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000071.jpg,224,0
71,72,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:71,image,0.691275417804718,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000072.jpg,224,0
72,73,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:72,image,0.000276041537290439,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000073.jpg,224,0
73,74,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:73,image,2.4425329684163444e-05,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000074.jpg,224,0
74,75,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:74,image,0.1937650591135025,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000075.jpg,224,0
75,76,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:75,image,0.9369357824325562,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000076.jpg,224,0
76,77,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:76,image,0.04476310685276985,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000077.jpg,224,0
77,78,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:77,image,0.7407349348068237,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000078.jpg,224,0
78,79,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:78,image,0.9970580339431763,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000079.jpg,224,0
79,80,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:79,image,0.9979092478752136,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000080.jpg,224,0
80,81,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:80,image,0.9898093938827515,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000081.jpg,224,0
81,82,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:81,image,0.001068707904778421,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000082.jpg,224,0
82,83,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:82,image,0.3259328007698059,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000083.jpg,224,0
83,84,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:83,image,0.6294988989830017,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000084.jpg,224,0
84,85,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:84,image,0.796932578086853,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000085.jpg,224,0
85,86,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:85,image,0.04672115668654442,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000086.jpg,224,0
86,87,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:86,image,0.7486056089401245,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000087.jpg,224,0
87,88,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:87,image,3.227376116463239e-14,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000088.jpg,224,0
88,89,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:88,image,0.8165185451507568,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000089.jpg,224,0
89,90,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:89,image,0.9978159666061401,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000090.jpg,224,0
90,91,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:90,image,0.34974029660224915,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000091.jpg,224,0
91,92,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:91,image,0.7766175866127014,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000092.jpg,224,0
92,93,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:92,image,0.6294992566108704,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000093.jpg,224,0
93,94,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:93,image,0.9319791197776794,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000094.jpg,224,0
94,95,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:94,image,0.102605439722538,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000095.jpg,224,0
95,96,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:95,image,0.011431247927248478,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000096.jpg,224,0
96,97,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:96,image,0.8047038316726685,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000097.jpg,224,0
97,98,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:97,image,0.08000805228948593,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000098.jpg,224,0
98,99,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:98,image,0.15431331098079681,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000099.jpg,224,0
99,100,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:99,image,0.49905988574028015,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000100.jpg,224,0
100,101,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:100,image,0.5279577970504761,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000101.jpg,224,0
101,102,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:101,image,0.9337748289108276,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000102.jpg,224,0
102,103,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:102,image,0.9999991655349731,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000103.jpg,224,0
103,104,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:103,image,0.9659234881401062,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000104.jpg,224,0
104,105,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:104,image,4.5538836590530707e-10,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000105.jpg,224,0
105,106,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:105,image,0.9957287907600403,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000106.jpg,224,0
106,107,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:106,image,5.551522463065339e-06,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000107.jpg,224,0
107,108,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:107,image,0.7481364011764526,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000108.jpg,224,0
108,109,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:108,image,1.0640617347235093e-06,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000109.jpg,224,0
109,110,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:109,image,0.4185052514076233,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000110.jpg,224,0
110,111,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:110,image,2.371859437744206e-07,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000111.jpg,224,0
111,112,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:111,image,0.8602033257484436,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000112.jpg,224,0
112,113,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:112,image,0.927639901638031,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000113.jpg,224,0
113,114,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:113,image,3.872953346917285e-11,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000114.jpg,224,0
114,115,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:114,image,0.9999998807907104,1,ai-generated,0.6,1,0,ai-generated,dataset_profile:label,1,"{""label"": 0}",mixed_images/image_000115.jpg,224,0
115,116,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:115,image,0.10935137420892715,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000116.jpg,224,0
116,117,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:116,image,0.0046672821044921875,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000117.jpg,224,0
117,118,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:117,image,0.16480515897274017,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000118.jpg,224,0
118,119,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:118,image,0.4583638608455658,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000119.jpg,224,0
119,120,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:119,image,0.12766723334789276,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000120.jpg,224,0
120,121,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:120,image,0.4883178472518921,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000121.jpg,224,0
121,122,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:121,image,1.1080509239036473e-06,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000122.jpg,224,0
122,123,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:122,image,0.00017950384062714875,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000123.jpg,224,0
123,124,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:123,image,1.0348728665121598e-06,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000124.jpg,224,0
124,125,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:124,image,1.789458536904931e-07,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000125.jpg,224,0
125,126,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:125,image,0.22493131458759308,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000126.jpg,224,0
126,127,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:126,image,0.004292469471693039,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000127.jpg,224,0
127,128,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:127,image,0.1807243824005127,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000128.jpg,224,0
128,129,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:128,image,8.222872907026613e-07,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000129.jpg,224,0
129,130,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:129,image,3.856153398373863e-06,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000130.jpg,224,0
130,131,prithivMLmods/AI-vs-Deepfake-vs-Real,test,train,index:130,image,0.1749763935804367,0,real,0.6,1,0,ai-generated,dataset_profile:label,0,"{""label"": 0}",mixed_images/image_000131.jpg,224,0
